url | title | question
https://abortion.procon.org | Abortion | Should abortion be legal?  
https://aclu.procon.org | ACLU | Is the ACLU good for America?
https://alternativeenergy.procon.org | Alternative Energy | Can alternative energy effectively replace fossil fuels?
https://procon.org/headlines/american-socialism-top-2-pros-and-cons/ | American Socialism | Should the US become socialist?
https://procon.org/headlines/top-3-pros-and-cons-of-animal-dissection/ | Animal Dissection | Should K-12 students dissect animals in science classrooms?
https://animal-testing.procon.org | Animal Testing | Should animals be used for scientific or commercial testing?
https://procon.org/headlines/artificial-intelligence-ai-top-3-pros-and-cons/ | Artificial Intelligence | Is artificial intelligence good for society?
https://procon.org/headlines/banned-books-top-3-pros-and-cons/ | Banned Books | Should parents or other adults be able to ban books from schools and libraries?
https://bigthreeauto.procon.org | Big Three Bailout | Should the big three car manufacturers be bailed out by the US government?
https://procon.org/headlines/binge-watching-top-3-pros-and-cons/ | Binge-Watching | Is binge-watching good for you?
https://borngay.procon.org | Born Gay | Is sexual orientation determined at birth?
https://procon.org/headlines/should-bottled-water-be-banned-top-4-pros-and-cons/ | Bottled Water Ban | Should bottled water be banned?
https://procon.org/headlines/is-cancel-culture-or-callout-culture-good-for-society/ | Cancel Culture | Is cancel culture (or callout culture) good for society?
https://procon.org/headlines/marijuana-for-pets-top-3-pros-and-cons/ | CBD for Pets | Is CBD good for pets?
https://cellphones.procon.org | Cell Phone Radiation | Is cell phone radiation safe?
https://procon.org/headlines/cheerleading-top-3-pros-and-cons/ | Cheerleading | Is cheerleading a sport?
https://churchesandtaxes.procon.org | Churches & Taxes | Should churches (including mosques, synagogues, etc.) remain tax-exempt?
https://climatechange.procon.org | Climate Change | Is human activity primarily responsible for global climate change?
https://college-education.procon.org | College Education | Is a college education worth it?
https://collegefootball.procon.org | College Football Playoffs | Should college football replace the Bowl Championship Series (BCS) with a playoff system?
https://concealedguns.procon.org | Concealed Handguns | Should adults have the right to carry a concealed handgun?
https://insidertrading.procon.org | Congressional Insider Trading | Should insider trading by Congress be allowed?
https://procon.org/headlines/corporal-punishment-pros-cons-procon-org/ | Corporal Punishment | Should corporal punishment be used in K-12 schools?
https://corporatetax.procon.org | Corporate Tax Rate | Should the federal corporate income tax rate be raised?
https://cuba-embargo.procon.org | Cuba Embargo | Should the United States maintain its embargo against Cuba?
https://procon.org/headlines/are-daca-and-the-dream-act-good-for-america/ | DACA & Dreamers | Are DACA (Deferred Action for Childhood Arrivals) and the DREAM Act good for America?
https://dare.procon.org | D.A.R.E. | Is the D.A.R.E. program good for America's kids (K-12)?
https://procon.org/headlines/top-3-pros-and-cons-of-daylight-saving-time/ | Daylight Saving Time | Should the United States keep daylight saving time?
https://procon.org/headlines/dc-and-puerto-rico-statehood/ | DC AND Puerto Rico Statehood | Should Washington, DC, and Puerto Rico be granted US statehood?
https://deathpenalty.procon.org | Death Penalty | Should the death penalty be legal?
https://procon.org/headlines/dress-codes-top-3-pros-and-cons/ | Dress Codes | Should dress codes be implemented and enforced?
https://procon.org/headlines/defund-the-police-top-3-pros-and-cons/ | Defund the Police | Should police departments be defunded, if not abolished?
https://drinkingage.procon.org | Drinking Age | Should the drinking age be lowered from 21 to a younger age?
https://drones.procon.org | Drone Strikes | Should the United States continue its use of drone strikes abroad?
https://sportsanddrugs.procon.org | Drug Use in Sports | Should performance-enhancing drugs be accepted in sports?
https://procon.org/headlines/election-day-national-holiday-top-3-pros-and-cons/ | Election Day National Holiday | Should the election day be made a national holiday?
https://procon.org/headlines/electoral-college-pros-cons-procon-org/ | Electoral College | Should the United States use the Electoral College in presidential elections?
https://procon.org/headlines/employer-vaccine-mandates-pros-and-cons-should-employers-be-able-to-mandate-vaccinations/ | Employer Vaccine Mandates | Should employers be able to mandate vaccinations?
https://felonvoting.procon.org | Felon Voting | Should people who have completed felony sentences be allowed to vote?
https://procon.org/headlines/should-fighting-be-allowed-in-hockey-top-3-pros-cons/ | Fighting in Hockey | Should fighting be allowed in hockey?
https://procon.org/headlines/filibuster-top-3-pros-and-cons/ | Filibuster | Should the US Senate keep the filibuster?
https://procon.org/headlines/fracking-top-3-pros-and-cons/ | Fracking | Should the United States continue fracking?
https://procon.org/headlines/free-college-top-3-pros-and-cons/ | Free College | Should public college be tuition-free?
https://procon.org/headlines/fur-clothing-bans-top-3-pros-and-cons/ | Fur Clothing Bans | Should fur clothing be banned?
https://gaymarriage.procon.org | Gay Marriage | Should gay marriage be legal?
https://procon.org/headlines/gmos-top-3-pros-and-cons/ | Genetically Modified Organisms (GMOs) | Should genetically modified organisms (GMOs) be grown?
https://gold-standard.procon.org | Gold Standard | Should the United States return to a gold standard?
https://golf.procon.org | Golf | Is golf a sport and are golfers athletes?
https://gun-control.procon.org | Gun Control | Should more gun control laws be enacted?
https://procon.org/headlines/historic-statue-removal-top-3-pros-cons/ | Historic Statue Removal | Should historic statues be taken down?
https://procon.org/headlines/homework-pros-cons-procon-org/ | Homework | Is homework beneficial?
https://immigration.procon.org | Illegal Immigration | Should the government provide a path to citizenship for undocumented immigrants?
https://procon.org/headlines/is-the-internet-making-us-stupid-top-3-pros-and-cons/ | Internet | Is the internet “making us stupid?”
https://procon.org/headlines/national-anthem-kneeling-pros-cons-procon-org/ | Kneeling during the National Anthem | Is kneeling during the national anthem an appropriate form of protest?
https://procon.org/headlines/mandatory-national-service-top-3-pros-and-cons/ | Mandatory National Service | Should the United States have mandatory national service?
https://medicalmarijuana.procon.org | Medical Marijuana | Should medical marijuana be legal?
https://euthanasia.procon.org | Medical Aid in Dying (MAID) | Should medical aid in dying (MAID) be legal??
https://milk.procon.org | Milk | Should humans consume dairy milk?
https://minimum-wage.procon.org | Minimum Wage | Should the federal minimum wage be increased?
https://procon.org/headlines/should-net-neutrality-be-restored-top-3-pros-and-cons/ | Net Neutrality | Should the US have net neutrality laws?
https://healthcarereform.procon.org | Obamacare | Is the Patient Protection and Affordable Care Act (Obamacare) good for America?
https://obesity.procon.org | Obesity | Is obesity a disease?
https://procon.org/headlines/hosting-the-olympic-games-top-3-pros-and-cons/ | Olympics | Are the Olympic games an overall benefit for their host countries and cities?
https://birth-control.procon.org | Over-the-Counter (OTC) Birth Control Pills | Should birth control pills be available over-the-counter (OTC)?
https://procon.org/headlines/paying-college-athletes-top-3-pros-and-cons/ | Paying College Athletes | Should colleges and universities pay college athletes?
https://procon.org/headlines/should-the-penny-stay-in-circulation-top-3-pros-and-cons/ | Penny | Should the penny stay in circulation?
https://procon.org/headlines/pit-bull-bans-top-2-pros-and-cons/ | Pit Bull Bans | Should breed-specific legislation (“pit bull bans”) be enacted?
https://procon.org/headlines/pokemon-go-top-3-pros-and-cons/ | Pokémon | Is Pokémon Go good for our society?
https://procon.org/headlines/police-body-cameras-top-3-pros-and-cons/ | Police Body Cameras | Should police officers wear body cameras?
https://prescriptiondrugs.procon.org | Prescription Drug Costs | Should the US federal government regulate prescription drug prices?
https://clinton.procon.org | President Bill Clinton | Was Bill Clinton a good president?
https://reagan.procon.org | President Ronald Reagan | Was Ronald Reagan a good president?
https://procon.org/headlines/private-prisons-top-3-pros-and-cons/ | Private Prisons | Should prisons be privatized?
https://prostitution.procon.org | Prostitution | Should prostitution be legal?
https://marijuana.procon.org | Recreational Marijuana | Should recreational marijuana be legal?
https://procon.org/headlines/reparations-for-slavery-top-3-pros-and-cons/ | Reparations for Slavery | Should the federal government pay reparations to the descendants of slaves?
https://healthcare.procon.org | Right to Healthcare | Should all Americans have the right (be entitled) to health care?
https://procon.org/headlines/sanctuary-cities-top-3-pros-and-cons/ | Sanctuary Cities | Should sanctuary cities receive federal funding?
https://santa-claus.procon.org/ | Santa Claus | Is there really a Santa Claus?
https://procon.org/headlines/saturday-halloween-top-3-pros-and-cons/ | Saturday Halloween | Should Halloween be moved permanently to Saturday?
https://school-uniforms.procon.org | School Uniforms | Should students have to wear school uniforms?
https://procon.org/headlines/school-vouchers-top-4-pros-and-cons/ | School Vouchers | Should states have school voucher programs?
https://socialnetworking.procon.org | Social Media | Is social media good for society?
https://socialsecurity.procon.org | Social Security Privatization | Should social security be privatized?
https://procon.org/headlines/space-colonization-top-3-pros-and-cons/ | Space Colonization | Should humans colonize space?
https://standardizedtests.procon.org/ | Standardized Tests | Do standardized tests improve education in America?
https://procon.org/headlines/should-student-loan-debt-be-easier-to-discharge-in-bankruptcy-top-3-pros-cons/ | Student Loan Debt | Should student loan debt be eliminated via forgiveness or bankruptcy?
https://tablets-textbooks.procon.org | Tablets v. Textbooks | Should tablets replace textbooks in K-12 schools?
https://teachertenure.procon.org | Teacher Tenure | Should teachers get tenure?
https://procon.org/headlines/tiktok-bans-top-3-pros-and-cons/ | TikTok Bans | Should TikTok be banned?
https://procon.org/headlines/ride-hailing-apps-such-as-uber-and-lyft-top-3-pros-and-cons/ | Uber & Lyft | Are ride-hailing companies a benefit to society?
https://undergod.procon.org | Under God in the Pledge | Should the words “under god” be in the US Pledge of Allegiance?
https://procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ | Universal Basic Income (UBI) | Should the United States implement a universal basic income?
https://usiraq.procon.org | US-Iraq War | Should the US have attacked Iraq?
https://procon.org/headlines/us-supreme-court-packing-top-2-pros-and-cons/ | US Supreme Court Packing | Should packing the US Supreme Court ever be considered?
https://vaccines.procon.org | Vaccines for Kids | Should states be allowed to mandate vaccines for school attendance?
https://procon.org/headlines/is-vaping-with-e-cigarettes-safe/ | Vaping E-Cigarettes | Is vaping e-cigarettes safe?
https://vegetarian.procon.org | Vegetarianism | Should people become vegetarian?
https://videogames.procon.org | Video Games & Violence | Do violent video games contribute to youth violence?
https://procon.org/headlines/lowering-the-voting-age-top-3-pros-and-cons/ | Voting Age | Should the voting age be lowered to 16?
https://votingmachines.procon.org | Voting Machines | Are electronic voting machines the best method for voting?
https://procon.org/headlines/zoos-top-3-pros-and-cons/ | Zoos | Should zoos exist?